date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:35	11634/11634	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:34%20GMT	http://www.kanjidamage.com/kanji/49-faint-%e6%b7%a1	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/49-faint-%e6%b7%a1.html	(from http://www.kanjidamage.com/kanji)
21:08:35	12040/12040	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:35%20GMT	http://www.kanjidamage.com/kanji/50-consult-%e8%ab%87	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/50-consult-%e8%ab%87.html	(from http://www.kanjidamage.com/kanji)
21:08:36	14599/14599	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:36%20GMT	http://www.kanjidamage.com/kanji/51-nail-%e4%b8%81	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/51-nail-%e4%b8%81.html	(from http://www.kanjidamage.com/kanji)
21:08:36	13383/13383	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:36%20GMT	http://www.kanjidamage.com/kanji/52-streetlight-%e7%81%af	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/52-streetlight-%e7%81%af.html	(from http://www.kanjidamage.com/kanji)
21:08:37	15093/15093	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:37%20GMT	http://www.kanjidamage.com/kanji/55-possible-%e5%8f%af	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/55-possible-%e5%8f%af.html	(from http://www.kanjidamage.com/kanji)
21:08:38	12642/12642	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:37%20GMT	http://www.kanjidamage.com/kanji/53-stream-%e6%b2%b3	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/53-stream-%e6%b2%b3.html	(from http://www.kanjidamage.com/kanji)
21:08:38	11455/11455	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:38%20GMT	http://www.kanjidamage.com/kanji/54-revise-%e8%a8%82	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/54-revise-%e8%a8%82.html	(from http://www.kanjidamage.com/kanji)
21:08:39	13831/13831	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:39%20GMT	http://www.kanjidamage.com/kanji/56-rice-field-%e7%94%b0	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/56-rice-field-%e7%94%b0.html	(from http://www.kanjidamage.com/kanji)
21:08:40	11361/11361	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:39%20GMT	http://www.kanjidamage.com/kanji/57-neighborhood-small-town-%e7%94%ba	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/57-neighborhood-small-town-%e7%94%ba.html	(from http://www.kanjidamage.com/kanji)
21:08:40	11743/11743	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:40%20GMT	http://www.kanjidamage.com/kanji/58-cultivated-field-%e7%95%91	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/58-cultivated-field-%e7%95%91.html	(from http://www.kanjidamage.com/kanji)
